"STNM"	"STCD"	"BSHNNM"	"HNNM"	"HL"	"DRAR"	"NT"
"宁厂（三）"	"60513840"	"F"	"F0"	"后溪河"	"473"	"1、冻结基面系假定基面。2、冻结基面在“1985国家高程基准”以上-14.006m。"
"大昌（二）"	"60513900"	"F"	"F0"	"大宁河"		
"大宁河口"	"60513910"	"F"	"F0"	"大宁河"		
"沿渡河口"	"60514070"	"F"	"F0"	"沿渡河"		
"香溪河口"	"60514310"	"F"	"F0"	"香溪河"		
"青港河口"	"60514390"	"F"	"F0"	"青港河"		
"隧洞口"	"60519030"	"F"	"F0"	"茅坪下溪"		
"高场（五）"	"60603300"	"F"	"FB"	"岷江"	"135378"	"1、本站冻结基面系吴淞基面。2、冻结基面在黄海(59)基面以上-1.419m。"
"富顺"	"60614050"	"F"	"F0"	"沱江"	"19613"	"1、本站冻结基面系吴淞基面。2、冻结基面在黄海(59)基面以上-1.330m。"
"武胜"	"60703500"	"F"	"FC"	"嘉陵江"	"79714"	"1、本站冻结基面系吴淞基面。2、冻结基面在“1985国家高程基准”以上-0.789m。"
"东津沱"	"60703550"	"F"	"FC"	"嘉陵江"	"156000"	
"北碚（三）"	"60703600"	"F"	"FC"	"嘉陵江"	"156736"	"1、冻结基面在黄海(59)基面以上-0.870m。2、本站冻结基面系吴淞基面。"
"悦来"	"60703700"	"F"	"FC"	"嘉陵江"		
"童家溪（三）"	"60703800"	"F"	"FC"	"嘉陵江"		
"磁器口"	"60704000"	"F"	"FC"	"嘉陵江"		
"千厮门                 "	"60704010"	"F"	"FC"	"嘉陵江"	"0"	
"罗渡溪（二）"	"60712000"	"F"	"FC"	"渠江"	"38064"	"1、本站冻结基面系吴淞基面。2、冻结基面在1985国家高程基准以上-1.701m。"
"小河坝（三）"	"60715900"	"F"	"FC"	"涪江"	"28901"	"冻结基面在黄海(59)基面以上-0.870m"
"沿河"	"60802200"	"F"	"FD"	"乌江"	"55237"	"1、冻结基面系黄海(59)基面。2、冻结基面在“1985国家高程基准”以上+0.082m。"
"龚滩（二）"	"60802400"	"F"	"FD"	"乌江"	"64200"	"1.本站冻结基面系吴淞基面。2.冻结基面在""1985国家高程基准""以上-1.502m 。"
"彭水（四）"	"60802700"	"F"	"FD"	"乌江"	"70000"	"1.冻结基面为黄海(59)基面。2.冻结基面在""1985国家高程基准""以上+0.106m。"
"武隆"	"60803000"	"F"	"FD"	"乌江"	"83035"	"1、冻结基面系平差前吴凇基面。2、冻结基面在黄海(59)基面以上-1.642m。"
"羊角（上）"	"60803005"	"F"	"FD"	"乌江"	"0"	
"羊角（下)"	"60803006"	"F"	"FD"	"乌江"	"0"	
"白马（上）"	"60803010"	"F"	"FD"	"乌江"	"0"	
"白马（下）"	"60803011"	"F"	"FD"	"乌江"	"0"	
"小石溪"	"60803050"	"F"	"FD"	"乌江"	"0"	
"大 石 坝"	"60803060"	"F"	"FD"	"乌江"	"0"	
"大 东 门"	"60803300"	"F"	"FD"	"乌江"	"0"	
"浩口"	"60812100"	"F"	"FD"	"芙蓉江"	"7357"	"1、冻结基面系假定基面。2、冻结基面在黄海(59)基面以上-0.742m。"
"江口（二）"	"60812300"	"F"	"FD"	"芙蓉江"	"0"	
"长阳(二)"	"61004000"	"F"	"F0"	"清江"	"15300"	
"白沙(二)"	"61500001"	"F"	"FE"	"黄土包"		"资料不全（每年仅测12次流量，同期观测水位）"
"接港口"	"61500003"	"F"	"FE"	"沅江"		"资料不全（每年仅测12次流量，同期观测水位）"
"瓦窑河(二)"	"61500500"	"F"	"FE"	"松滋河（西支）"		
"太平口(二)"	"61501400"	"F"	"FE"	"虎渡河"		
"里甲南(外)"	"61501520"	"F"	"FE"	"虎渡河"		
"里甲南(内)"	"61501525"	"F"	"FE"	"虎渡河"		
"大定垸北(外)"	"61501530"	"F"	"FE"	"虎渡河"		
"大定垸北(内)"	"61501535"	"F"	"FE"	"虎渡河"		
"大定垸南(外)"	"61501540"	"F"	"FE"	"虎渡河"		
"大定垸南(内)"	"61501545"	"F"	"FE"	"虎渡河"		
"黄金口(外)"	"61501550"	"F"	"FE"	"虎渡河"		
"黄金口(内)"	"61501560"	"F"	"FE"	"虎渡河"		
"黄天湖"	"61501580"	"F"	"FE"	"虎渡河"		
"黄山头(闸上)"	"61501600"	"F"	"FE"	"虎渡河"		
"黄山头(闸下)"	"61501601"	"F"	"FE"	"虎渡河"		
"三岔河"	"61502300"	"F"	"FE"	"藕池河（西支）"		
"南县(罗文窖)"	"61503010"	"F"	"FE"	"藕池河（北支）"		
"注滋口(三)"	"61503200"	"F"	"FE"	"藕池河（北支）"		
"石龟山"	"61503800"	"F"	"FE"	"澧水"		
"蒿子港"	"61503801"	"F"	"FE"	"澧水"		
"官垸"	"61505000"	"F"	"FE"	"松滋河（西支）"		
"三不管"	"61505001"	"F"	"FE"	"澧水"		
"汇口(二)"	"61505100"	"F"	"FE"	"五里河"		
"自治局(三)"	"61505300"	"F"	"FE"	"松滋河（中支）"		
"大湖口"	"61505400"	"F"	"FE"	"松滋河（东支）"		
"小望角"	"61505401"	"F"	"FE"	"松滋河（中支）"		
"董家垱"	"61505402"	"F"	"FE"	"虎渡河"		"资料不全（每年仅测12次流量，同期观测水位）"
"濠口"	"61505403"	"F"	"FE"	"松滋河（西支）"		"资料不全（每年仅测12次流量，同期观测水位）"
"葫芦坝"	"61505404"	"F"	"FE"	"松滋河（西支）"		"资料不全（每年仅测12次流量，同期观测水位）"
"安乡"	"61505900"	"F"	"FE"	"松虎合流"		
"白蚌口"	"61505901"	"F"	"FE"	"松虎合流"		
"肖家湾(二)"	"61506200"	"F"	"FE"	"松虎合流"		
"牛鼻滩"	"61506500"	"F"	"FE"	"沅江"		
"周文庙"	"61506600"	"F"	"FE"	"沅江"		
"南咀"	"61507600"	"F"	"FE"	"西洞庭湖湖口（北端）"		
"沙湾"	"61507700"	"F"	"FE"	"目平湖"		
"小河咀"	"61507800"	"F"	"FE"	"西洞庭湖湖口（南端）"		
"草尾"	"61508000"	"F"	"FE"	"草尾河"		
"黄茅洲"	"61508001"	"F"	"FE"	"草尾河"		
"东南湖"	"61508300"	"F"	"FE"	"南洞庭湖"		
"沅江(二)"	"61508400"	"F"	"FE"	"万子湖"		
"沙头（二）"	"61508600"	"F"	"FE"	"资水"		
"甘溪港"	"61508601"	"F"	"FE"	"资水"		"资料不全（每年仅测12次流量，同期观测水位）"
"杨堤(三)"	"61509100"	"F"	"FE"	"资水"		
"白马寺(二)"	"61509101"	"F"	"FE"	"资水（东支）"		
